Vector1,Vector2
1.5070000000000001,511.0
1.508,510.0
1.5090000000000001,512.0
1.51,512.0
1.5110000000000001,512.0
1.512,511.0
1.5130000000000001,509.0
1.514,509.0
1.5150000000000001,508.0
1.516,505.0
1.5170000000000001,505.0
1.518,503.0
1.5190000000000001,506.0
1.52,507.0
1.5210000000000001,508.0
1.522,508.0
1.5230000000000001,509.0
1.524,511.0
1.5250000000000001,514.0
1.526,513.0
1.5270000000000001,511.0
1.528,511.0
1.5290000000000001,514.0
1.53,512.0
1.5310000000000001,509.0
1.532,507.0
1.5330000000000001,504.0
1.534,506.0
1.5350000000000001,505.0
1.536,506.0
1.537,506.0
1.538,509.0
1.539,508.0
1.54,509.0
1.541,511.0
1.542,512.0
1.543,511.0
1.544,513.0
1.545,512.0
1.546,511.0
1.547,509.0
1.548,509.0
1.549,507.0
1.55,505.0
1.551,504.0
1.552,507.0
1.553,507.0
1.554,508.0
1.555,508.0
1.556,510.0
1.557,511.0
1.558,512.0
1.559,513.0
1.56,512.0
1.561,512.0
1.562,512.0
1.563,510.0
1.564,509.0
1.565,507.0
1.566,507.0
1.567,504.0
1.568,504.0
1.569,505.0
1.57,507.0
1.571,508.0
1.572,508.0
1.573,510.0
1.574,512.0
1.575,512.0
1.576,512.0
1.577,512.0
1.578,511.0
1.579,511.0
1.58,509.0
1.581,510.0
1.582,506.0
1.583,505.0
1.584,505.0
1.585,505.0
1.586,505.0
1.587,505.0
1.588,508.0
1.589,508.0
1.59,510.0
1.591,513.0
1.592,515.0
1.593,513.0
1.594,513.0
1.595,512.0
1.596,509.0
1.597,510.0
1.598,510.0
1.599,509.0
1.6,504.0
1.601,506.0
1.602,505.0
1.603,508.0
1.604,505.0
1.605,507.0
